"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",10,"Aubrey Moore","S",4,0,0,0,0,8,0,1,6,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",19,"Jane Petrie","S",2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",33,"Isabelle Poehlein","OPP",1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",17,"Cornelia Roach","MB",4,2,1,8,0.125,0,1,0,5,0,0,3,5,0,8.5,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",13,"Audrey Ross","OH",4,9,11,41,-0.049,0,0,0,3,28,0,0,1,0,9.5,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",2,"Halle Schroder","OH",4,10,9,36,0.028,1,0,2,13,32,4,0,0,0,10,0
"Boston College","2024-2025",2024-09-13,"Boston College","ACC","Georgia","SEC","Away",16,"Brooklyn Yelland","L/DS",4,0,0,1,0,7,0,1,9,17,1,0,0,0,0,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",1,"Emilia Bernal","L/DS",3,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",23,"Julia Haggerty","MB",3,2,1,6,0.167,0,0,0,2,0,0,1,2,2,4,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",14,"Anna Herrington","MB",3,3,5,13,-0.154,1,0,0,3,0,0,0,3,0,4.5,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",12,"Sam Hoppes","OPP",3,4,1,8,0.375,0,0,0,0,0,0,0,1,0,4.5,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",5,"Sophia Lambros","S",3,0,0,1,0,14,1,1,10,0,0,0,0,0,1,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",24,"Sequoia Layne","OH",2,2,1,4,0.25,0,0,0,0,0,0,0,0,2,2,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",8,"Grace Milliken","MB",2,1,2,6,-0.167,0,0,0,0,0,0,0,3,0,2.5,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",10,"Aubrey Moore","S",2,0,0,0,0,11,1,0,5,0,0,0,0,0,1,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",19,"Jane Petrie","S",1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",17,"Cornelia Roach","MB",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",13,"Audrey Ross","OH",3,9,2,21,0.333,0,0,0,2,27,5,0,1,0,9.5,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",2,"Halle Schroder","OH",3,15,4,36,0.306,1,0,0,1,8,0,0,0,0,15,0
"Boston College","2024-2025",2024-09-14,"Boston College","ACC","Utah Valley","WAC","Home",16,"Brooklyn Yelland","L/DS",3,1,0,1,1,6,1,0,8,21,2,0,0,0,2,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",1,"Emilia Bernal","L/DS",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",23,"Julia Haggerty","MB",3,3,2,9,0.111,0,0,0,2,0,0,1,4,0,6,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",14,"Anna Herrington","MB",2,1,1,9,0,0,0,0,0,0,0,0,0,0,1,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",7,"Hanna Hoffman","S",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",12,"Sam Hoppes","OPP",4,4,1,9,0.333,0,0,0,2,1,0,0,2,0,5,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",5,"Sophia Lambros","S",4,0,0,0,0,15,3,1,9,1,0,0,0,0,3,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",8,"Grace Milliken","MB",2,2,0,2,1,0,0,0,0,0,0,0,3,0,3.5,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",19,"Jane Petrie","S",4,0,0,0,0,20,1,0,3,0,0,0,0,0,1,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",33,"Isabelle Poehlein","OPP",3,3,1,9,0.222,0,0,0,1,0,0,0,3,0,4.5,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",11,"Morgan Riddle","L/DS",4,0,0,0,0,4,1,1,17,25,2,0,0,0,1,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",17,"Cornelia Roach","MB",4,3,0,9,0.333,0,0,3,2,1,0,0,5,0,5.5,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",13,"Audrey Ross","OH",4,8,3,29,0.172,0,0,0,5,11,0,1,4,0,11,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",2,"Halle Schroder","OH",4,22,10,47,0.255,1,3,4,12,15,1,0,3,1,26.5,0
